External_Id__c,Name,Asset_Category__r:Asset_Category__c:External_Id__c,Description__c
ACUSON_CYPRESS,Acuson Cypress,ULTRASOUND,Portable ultrasound system for cardiovascular and general imaging.
SOMATOM_DEFINITION,SOMATOM Definition,CT,CT scanner platform for multi-slice diagnostic imaging and angiography.
SOMATOM_FORCE,SOMATOM Force,CT,Dual-source high-end CT system optimized for low dose and fast cardiac imaging.
AXIOM_ARISTOS,AXIOM Aristos,XRAY,Digital radiography system for general X-ray exams.
NAEOTOM_ALPHA,NAEOTOM Alpha,CT,Photon-counting CT system delivering high spatial resolution and spectral imaging.
BIOGRAPH_TRUEPOINT_PET_CT,Biograph TruePoint PET/CT,MOLECULAR_IMAGING,"Integrated PET/CT system for oncology, cardiology, and neurology."
MAGNETOM_1_5T_AERA,MAGNETOM 1.5 T Aera,MRI,1.5T MRI system for routine and advanced clinical applications.
MAGNETOM_1_5T_ESSENZA,MAGNETOM 1.5 T Essenza,MRI,Value-focused 1.5T MRI system for reliable daily imaging.
SYMBIA_TRUEPOINT_SPECT_CT,Symbia TruePoint SPECT-CT,MOLECULAR_IMAGING,Hybrid SPECT/CT system for functional and anatomical imaging.
AXIOM_ICONOS,AXIOM Iconos,XRAY,Fluoroscopy / radiography system for interventional and diagnostic procedures.
DOCULIVE_EPR,DocuLive (EPR),CLINICAL_WORKFLOW_IT,Electronic patient record and clinical workflow solution.
SYNGO_IMAGING_XS,Syngo Imaging XS,IMAGING_IT,Imaging IT platform for PACS / reporting and departmental workflow.
SOMATOM_GO_TOP,SOMATOM go.Top,CT,Entry-level CT scanner for routine diagnostic imaging.
SOMATOM_EDGE_PLUS,SOMATOM Edge Plus,CT,Mid-range CT system with advanced cardiac capabilities.
MAGNETOM_3T_SKYRA,MAGNETOM 3T Skyra,MRI,3T MRI system for advanced neurological and body imaging.
MAGNETOM_3T_PRISMA,MAGNETOM 3T Prisma,MRI,Research-grade 3T MRI with advanced sequences.
MAGNETOM_7T_TERRA,MAGNETOM 7T Terra,MRI,Ultra-high field 7T MRI for research applications.
ACUSON_SEQUOIA,Acuson Sequoia,ULTRASOUND,Premium ultrasound system for radiology and cardiology.
ACUSON_JUNIPER,Acuson Juniper,ULTRASOUND,Compact ultrasound system for point-of-care imaging.
ACUSON_ORIGIN,Acuson Origin,ULTRASOUND,Shared service ultrasound platform for multiple specialties.
AXIOM_ARTIS_ZEE,AXIOM Artis zee,XRAY,Interventional angiography system with advanced imaging.
AXIOM_MULTIX_FUSION,AXIOM Multix Fusion,XRAY,Digital radiography system with tomosynthesis capability.
YSIO_MAX,YSIO Max,XRAY,Wireless DR system with advanced automation features.
MOBILETT_ELARA_MAX,Mobilett Elara Max,XRAY,Mobile X-ray system for bedside imaging.
